lon,lat,elevation,when,som,moisture,temp
141.9858877,-36.82159955,502.62,8/04/2022,3.38,33.9,59.23
141.9858925,-36.82158425,502.62,8/04/2022,3.34,33.35,59.25
141.9858926,-36.82161664,502.62,8/04/2022,3.47,32.9,59.03
141.9858961,-36.82163319,502.62,8/04/2022,3.515,32.75,58.93
141.9858982,-36.8216493,502.62,8/04/2022,3.555,32.5,58.45
141.9858986,-36.8216653,502.62,8/04/2022,3.615,33.65,58.23
141.98879,-36.81199516,521.33,8/04/2022,3.525,32.27,64.13
141.9887902,-36.81380184,519.69,8/04/2022,3.33,33.38,64.95
141.9887904,-36.81741524,513.12,8/04/2022,3.38,32.05,67.25
141.9887906,-36.81019044,521.33,8/04/2022,3.21,32.9,62.4
141.9887907,-36.81560496,518.37,8/04/2022,3.455,32.7,65.73
141.9887908,-36.81922216,510.17,8/04/2022,3.665,33.8,59.78
141.9887908,-36.82102484,507.55,8/04/2022,3.37,33.9,65.95
141.9887924,-36.81197836,521.33,8/04/2022,3.5,33.88,64.1
141.9887927,-36.81378504,519.69,8/04/2022,3.35,33.58,64.93
141.988793,-36.81739844,513.12,8/04/2022,3.35,32.23,67.15
141.9887932,-36.81558816,518.37,8/04/2022,3.45,32.08,65.83
141.9887933,-36.81017364,521.33,8/04/2022,3.155,32.45,62.48
141.9887933,-36.81920546,510.17,8/04/2022,3.615,32.98,60
141.9887938,-36.82100604,507.55,8/04/2022,3.315,33.23,66.23
141.9887949,-36.81196156,521.33,8/04/2022,3.44,32.33,64.15
141.9887954,-36.81376814,519.69,8/04/2022,3.35,33.6,64.8
141.9887955,-36.81738154,513.12,8/04/2022,3.375,30.52,67.35
141.9887957,-36.81557136,518.37,8/04/2022,3.445,32.67,65.75
141.9887958,-36.81918856,510.17,8/04/2022,3.515,33.92,60.18
141.9887959,-36.82208198,508.2,8/04/2022,3.155,28.8,60.9
141.988796,-36.81015684,521.33,8/04/2022,3.09,34.08,62.38
141.9887967,-36.82098724,507.55,8/04/2022,3.35,31.48,66.3
141.9887971,-36.81003152,521.33,8/04/2022,3.045,31.82,63
141.9887974,-36.81857766,510.83,8/04/2022,3.245,34.88,64.63
141.9887975,-36.81194476,521.33,8/04/2022,3.45,33.35,64.15
141.9887979,-36.81375134,519.69,8/04/2022,3.355,33.73,64.78
141.9887979,-36.81736484,513.12,8/04/2022,3.34,31.25,67.23
141.9887983,-36.81555456,518.37,8/04/2022,3.465,32,65.7
141.9887985,-36.81014004,521.33,8/04/2022,2.99,35.23,62.38
141.9887997,-36.82096854,507.55,8/04/2022,3.265,31.77,66.28
141.9888001,-36.81192796,521.33,8/04/2022,3.45,33.88,64.15
141.9888005,-36.81373464,519.69,8/04/2022,3.345,33.1,64.93
141.9888005,-36.81734794,513.12,8/04/2022,3.325,32.3,67.05
141.9888006,-36.81788967,512.14,8/04/2022,3.685,32.42,62.15
141.9888007,-36.8100892,521.33,8/04/2022,3.06,32.77,63.03
141.9888007,-36.81915506,510.17,8/04/2022,3.46,33.83,60.68
141.9888008,-36.81553776,518.37,8/04/2022,3.485,31.7,65.8
141.9888008,-36.819172,510.17,8/04/2022,3.485,33.75,60.5
141.988801,-36.8101062,521.33,8/04/2022,2.975,33.98,62.7
141.9888012,-36.81012324,521.33,8/04/2022,2.99,35.4,62.43
141.9888024,-36.82094964,507.55,8/04/2022,3.3,32.73,66.08
141.9888026,-36.81939278,509.84,8/04/2022,3.405,32.73,62.15
141.9888028,-36.8100724,521.33,8/04/2022,3.125,33.3,63.13
141.9888028,-36.81191116,521.33,8/04/2022,3.45,32.4,64.15
141.9888031,-36.81371784,519.69,8/04/2022,3.325,34.6,64.73
141.9888031,-36.81733114,513.12,8/04/2022,3.255,33.1,67.05
141.9888033,-36.81552096,518.37,8/04/2022,3.47,31.63,65.8
141.9888047,-36.8100555,521.33,8/04/2022,3.23,32.63,63.43
141.9888053,-36.81189436,521.33,8/04/2022,3.47,33.48,64.18
141.9888054,-36.81912136,510.5,8/04/2022,3.505,33.75,61
141.9888054,-36.82093084,507.55,8/04/2022,3.285,32.3,66.08
141.9888055,-36.81370104,519.69,8/04/2022,3.355,34.48,64.55
141.9888056,-36.81731434,513.12,8/04/2022,3.235,32.45,67.18
141.9888056,-36.8191385,510.5,8/04/2022,3.51,33.2,60.8
141.988806,-36.81550416,518.37,8/04/2022,3.445,31.43,65.78
141.9888069,-36.81953239,509.51,8/04/2022,3.755,28.32,61.13
141.9888074,-36.82186122,507.22,8/04/2022,3.195,31.82,63.08
141.9888079,-36.81910466,510.5,8/04/2022,3.455,33.73,61.03
141.988808,-36.81187756,521.33,8/04/2022,3.445,33.8,64.23
141.9888081,-36.80981168,521.33,8/04/2022,3.37,33.05,62.08
141.9888081,-36.81368424,519.69,8/04/2022,3.465,33.35,64.73
141.9888081,-36.82091214,507.55,8/04/2022,3.325,32.85,66.05
141.9888082,-36.81729744,513.12,8/04/2022,3.28,32.48,67.33
141.9888086,-36.81548736,518.37,8/04/2022,3.42,32.27,65.73
141.9888093,-36.8100389,521.33,8/04/2022,3.25,34.88,64.25
141.9888104,-36.81908786,510.5,8/04/2022,3.43,33.35,61.2
141.9888106,-36.81186076,521.33,8/04/2022,3.475,32.6,64.2
141.9888106,-36.81366734,519.69,8/04/2022,3.43,32.9,64.75
141.9888108,-36.81728064,513.12,8/04/2022,3.285,32.6,67.35
141.9888108,-36.82089334,507.55,8/04/2022,3.39,33.15,66.25
141.9888111,-36.81547056,518.37,8/04/2022,3.41,31.85,65.75
141.988813,-36.81907116,510.5,8/04/2022,3.34,33.9,61.25
141.9888132,-36.81184406,521.33,8/04/2022,3.465,32.83,64.13
141.9888132,-36.81365054,519.69,8/04/2022,3.445,33.4,64.68
141.9888135,-36.81545376,518.37,8/04/2022,3.385,32.02,65.58
141.9888135,-36.81726384,513.45,8/04/2022,3.265,32.15,67.53
141.9888137,-36.82087454,507.87,8/04/2022,3.42,33.2,66.4
141.9888156,-36.81905426,510.5,8/04/2022,3.35,32.9,61.38
141.9888157,-36.81182726,521.33,8/04/2022,3.51,32.9,64.15
141.9888158,-36.81363384,519.69,8/04/2022,3.49,32.25,64.78
141.988816,-36.81543706,518.37,8/04/2022,3.39,31.85,65.63
141.9888161,-36.81724704,513.45,8/04/2022,3.22,33.05,67.5
141.9888165,-36.82085574,507.87,8/04/2022,3.355,33.15,66.48
141.9888168,-36.82208408,508.2,8/04/2022,3.29,28.3,61.08
141.9888173,-36.81940298,509.84,8/04/2022,3.39,32.5,62.13
141.9888175,-36.81866121,511.15,8/04/2022,3.375,30.3,61.88
141.988818,-36.81003342,521.33,8/04/2022,3.12,32,62.73
141.9888181,-36.81903766,510.5,8/04/2022,3.395,33,61.38
141.9888182,-36.81181046,521.33,8/04/2022,3.51,33.17,64.3
141.9888184,-36.81361704,519.69,8/04/2022,3.52,31.5,64.98
141.9888186,-36.81542016,518.7,8/04/2022,3.435,31.82,65.6
141.9888186,-36.81723024,513.45,8/04/2022,3.31,32.08,67.4
141.9888192,-36.81789783,512.14,8/04/2022,3.715,30.98,62.15
141.9888194,-36.82083694,507.87,8/04/2022,3.31,32.9,66.45
141.9888202,-36.81868606,511.15,8/04/2022,3.285,32.83,62.2
141.9888208,-36.81902086,510.5,8/04/2022,3.42,32.08,61.5
141.988821,-36.81360024,519.69,8/04/2022,3.51,32.75,65
141.9888211,-36.81721334,513.45,8/04/2022,3.315,31.95,67.33
141.9888212,-36.81540326,518.7,8/04/2022,3.435,32.35,65.68
141.9888213,-36.81863777,511.48,8/04/2022,3.49,30.88,61.7
141.9888218,-36.81856402,510.83,8/04/2022,3.26,35.83,64.6
141.9888223,-36.82081814,507.87,8/04/2022,3.315,33.05,66.58
141.9888232,-36.81177686,521.65,8/04/2022,3.465,32.55,64.38
141.9888233,-36.8117939,521.33,8/04/2022,3.455,32.7,64.45
141.9888233,-36.81900406,510.5,8/04/2022,3.465,32.45,61.65
141.9888237,-36.81358334,519.69,8/04/2022,3.525,31.93,65.1
141.9888238,-36.81538656,518.7,8/04/2022,3.44,31.45,65.6
141.9888238,-36.81719664,513.45,8/04/2022,3.34,32.95,67.13
141.9888252,-36.82079934,507.87,8/04/2022,3.3,32.25,66.75
141.9888258,-36.81176006,521.65,8/04/2022,3.515,32.38,64.48
141.9888259,-36.81898736,510.83,8/04/2022,3.345,32.48,61.53
141.9888262,-36.81356664,519.69,8/04/2022,3.515,31.98,65.15
141.9888264,-36.81717984,513.45,8/04/2022,3.415,32.17,67.15
141.9888265,-36.81536976,518.7,8/04/2022,3.46,32.25,65.4
141.988827,-36.81952176,509.51,8/04/2022,3.655,28.85,61.05
141.9888281,-36.82078054,507.87,8/04/2022,3.265,33.55,66.68
141.9888283,-36.81174336,521.65,8/04/2022,3.505,33.35,64.48
141.9888284,-36.81871003,511.15,8/04/2022,3.32,33.17,62.18
141.9888284,-36.82186342,507.22,8/04/2022,3.335,30.77,63.23
141.9888285,-36.81897046,510.83,8/04/2022,3.31,31.57,61.58
141.9888287,-36.81354984,519.69,8/04/2022,3.495,32.08,65.2
141.9888289,-36.80981368,521.65,8/04/2022,3.445,32.2,62
141.9888289,-36.81716294,513.45,8/04/2022,3.455,33,67.1
141.9888292,-36.81535296,518.7,8/04/2022,3.46,32.9,65.33
141.9888308,-36.81172646,521.65,8/04/2022,3.515,32.58,64.53
141.9888309,-36.82076184,507.87,8/04/2022,3.28,33.13,66.58
141.988831,-36.81895376,510.83,8/04/2022,3.315,32.25,61.6
141.9888313,-36.81353294,519.69,8/04/2022,3.505,31.65,65.43
141.9888314,-36.81714614,513.45,8/04/2022,3.445,32.52,67.15
141.9888317,-36.81533616,518.7,8/04/2022,3.385,32.17,65.35
141.9888323,-36.81861983,511.48,8/04/2022,3.675,31.55,61.28
141.9888334,-36.81170966,521.65,8/04/2022,3.475,32.83,64.53
141.9888336,-36.81893706,510.83,8/04/2022,3.32,32.2,61.68
141.9888338,-36.81351614,519.69,8/04/2022,3.42,32.63,65.28
141.9888338,-36.82074294,507.87,8/04/2022,3.26,33.3,66.63
141.9888339,-36.81712934,513.78,8/04/2022,3.465,31.85,67.08
141.9888342,-36.81531936,518.7,8/04/2022,3.37,31.7,65.38
141.988836,-36.81169286,521.65,8/04/2022,3.52,32.4,64.45
141.9888362,-36.81892016,510.83,8/04/2022,3.395,31.93,62
141.9888363,-36.81349934,519.69,8/04/2022,3.375,32.77,65.35
141.9888364,-36.81711244,513.78,8/04/2022,3.455,31.2,67.23
142.0072047,-36.8118229,476.38,9/04/2022,3.03,22.15,79.95
142.0072109,-36.8115879,476.38,9/04/2022,3.11,35.1,80.25
142.0072186,-36.8118046,476.38,9/04/2022,2.965,20.5,79.95
142.0072238,-36.81160693,476.38,9/04/2022,3.215,34.7,80.43
142.007224,-36.811786,476.38,9/04/2022,3.05,20.77,80.13
142.0072253,-36.81176749,476.38,9/04/2022,3.02,23.77,80.38
142.0072366,-36.81174775,476.38,9/04/2022,2.825,25.57,80.4
142.0072383,-36.8116211,476.38,9/04/2022,3.235,33.45,80.25
142.0072469,-36.81172706,476.38,9/04/2022,2.705,26.85,80.7
142.007251,-36.81163717,476.38,9/04/2022,3.135,33.33,80.3
142.0072557,-36.81165976,476.38,9/04/2022,2.905,32.35,80.38
142.0072565,-36.81168255,476.38,9/04/2022,2.71,31.38,80.15
142.007258,-36.81170288,476.38,9/04/2022,2.64,29.38,80.28
